Airport;Terminal;Date;Hour;U.S. Citizen;;Non U.S. Citizen;;All;;;;;;;;;;;;
;;;;;;;;Wait Times;;Number Of Passengers Time Interval;;;;;;;;;;
;;;;Average Wait;Max Wait;Average Wait;Max Wait;Average Wait;Max Wait;0-15;16-30;31-45;46-60;61-90;91-120;120 plus;Excluded;Total;Flights;Booths
;;;;Time;Time;Time;Time;Time;Time;;;;;;;;;;;
LAX;Satellite 2;01/01/2019;0600 - 0700;7;9;22;22;9;22;10;2;0;0;0;0;0;0;12;1;0
LAX;Satellite 2;01/01/2019;0700 - 0800;7;11;0;0;7;11;25;0;0;0;0;0;0;1;26;1;0
LAX;Satellite 2;01/01/2019;0900 - 1000;11;13;0;0;11;13;8;0;0;0;0;0;0;1;9;1;0
LAX;Satellite 2;01/01/2019;1000 - 1100;15;43;18;48;16;48;424;219;114;4;0;0;0;22;783;5;6
LAX;Satellite 2;01/01/2019;1100 - 1200;13;42;17;42;15;42;146;94;12;0;0;0;0;5;257;2;6
LAX;Satellite 2;01/01/2019;1200 - 1300;11;45;16;44;12;45;339;138;22;0;0;0;0;19;518;4;6
LAX;Satellite 2;01/01/2019;1300 - 1400;7;22;15;24;9;24;161;27;0;0;0;0;0;1;189;1;6
LAX;Satellite 2;01/01/2019;1600 - 1700;7;14;11;16;8;16;149;6;0;0;0;0;0;4;159;1;6
LAX;Satellite 2;01/01/2019;1700 - 1800;10;35;12;36;10;36;467;53;12;0;0;0;0;17;549;3;7
LAX;Satellite 2;01/01/2019;1800 - 1900;7;18;9;14;7;18;121;2;0;0;0;0;0;4;127;2;3
LAX;Satellite 2;01/01/2019;2200 - 2300;31;36;0;0;31;36;0;3;4;0;0;0;0;0;7;1;0
LAX;Satellite 2;01/01/2019;2300 - 0000;27;28;0;0;27;28;0;7;0;0;0;0;0;1;8;1;0
LAX;Satellite 5;01/01/2019;2100 - 2200;16;18;18;18;16;18;1;4;0;0;0;0;0;1;6;1;1
LAX;Satellite 7;01/01/2019;0600 - 0700;10;14;13;13;10;14;13;0;0;0;0;0;0;0;13;2;0
LAX;Satellite 7;01/01/2019;1000 - 1100;10;25;14;28;12;28;116;40;0;0;0;0;0;4;160;1;4
LAX;Satellite 7;01/01/2019;1300 - 1400;10;31;15;32;11;32;297;84;3;0;0;0;0;13;397;2;6
LAX;Satellite 7;01/01/2019;1400 - 1500;8;23;29;70;22;70;139;37;17;19;29;0;0;7;248;1;8
LAX;Satellite 7;01/01/2019;1500 - 1600;11;29;11;17;11;29;125;17;0;0;0;0;0;5;147;1;4
LAX;Satellite 7;01/01/2019;1600 - 1700;10;28;14;28;11;28;420;144;0;0;0;0;0;13;577;3;7
LAX;Satellite 7;01/01/2019;1700 - 1800;12;30;14;30;12;30;233;90;0;0;0;0;0;7;330;2;8
LAX;Satellite 7;01/01/2019;1800 - 1900;21;22;0;0;21;22;0;5;0;0;0;0;0;1;6;1;0
